"slug","title","url","compactHref","category","topic","reach","start","end","meta","dateStatus","dateCertaintyLabel","displayedDate","dateNote","sourceStatus"
"afl-dreamtime-at-the-g","AFL Dreamtime at the G","/content/categories/sport/aussie-rules/events/afl-dreamtime-at-the-g.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"afl-gather-round","AFL Gather Round","/content/categories/sport/aussie-rules/events/afl-gather-round.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Searched official and ticket/travel sources; AFL Gather Round 2027 dates have not yet been announced by the AFL.","researched-no-date"
"afl-international-rules-series","AFL International Rules Series","/content/categories/sport/aussie-rules/events/afl-international-rules-series.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"american-song-contest","American Song Contest","/content/categories/music/song-contests/events/american-song-contest.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"amstel-gold-race","Amstel Gold Race","/content/categories/sport/cycling/events/amstel-gold-race.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"asia-cup-cricket-final","Asia Cup Cricket Final","/content/categories/sport/cricket/events/asia-cup-cricket-final.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"bafta-film-awards","BAFTA Film Awards","/content/categories/culture/awards/events/bafta-film-awards.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","BAFTA official pages list the 2026 ceremony and 2026 awards timeline; no 2027 Film Awards date found.","researched-no-date"
"benidorm-fest","Benidorm Fest","/content/categories/music/song-contests/events/benidorm-fest.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","RTVE has opened Benidorm Fest 2027 submissions, confirming the edition exists, but no show-week dates were found.","researched-no-date"
"biennale-of-sydney","Biennale of Sydney","/content/categories/culture/art/events/biennale-of-sydney.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"breeders-cup","Breeders Cup","/content/categories/sport/horse-racing/events/breeders-cup.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"brit-awards","Brit Awards","/content/categories/culture/awards/events/brit-awards.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"carnival-of-santa-cruz-de-tenerife","Carnival of Santa Cruz de Tenerife","/content/categories/culture/carnival/events/carnival-of-santa-cruz-de-tenerife.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"celtic-connections","Celtic Connections","/content/categories/music/world-music/events/celtic-connections.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"cesar-awards","Cesar Awards","/content/categories/culture/awards/events/cesar-awards.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"champions-hockey-league-final","Champions Hockey League Final","/content/categories/sport/ice-hockey/events/champions-hockey-league-final.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"cologne-carnival","Cologne Carnival","/content/categories/culture/carnival/events/cologne-carnival.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"cotton-bowl-classic","Cotton Bowl Classic","/content/categories/sport/american-football/events/cotton-bowl-classic.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"d23-expo","D23 Expo","/content/categories/culture/pop-culture/events/d23-expo.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"dakar-rally","Dakar Rally","/content/categories/sport/motorsport/events/dakar-rally.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"dreamhack-dallas","DreamHack Dallas","/content/categories/culture/gaming/events/dreamhack-dallas.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"dublin-tech-summit","Dublin Tech Summit","/content/categories/culture/tech-events/events/dublin-tech-summit.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"euroleague-final-four","EuroLeague Final Four","/content/categories/sport/basketball/events/euroleague-final-four.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"european-championships","European Championships","/content/categories/sport/multi-sport/events/european-championships.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"european-rugby-champions-cup-final","European Rugby Champions Cup Final","/content/categories/sport/rugby/events/european-rugby-champions-cup-final.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"festival-au-desert","Festival au Desert","/content/categories/music/world-music/events/festival-au-desert.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"globalfest-new-york","GlobalFEST New York","/content/categories/music/world-music/events/globalfest-new-york.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"icc-champions-trophy","ICC Champions Trophy","/content/categories/sport/cricket/events/icc-champions-trophy.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"ice-magic-lake-louise","Ice Magic Lake Louise","/content/categories/culture/winter/events/ice-magic-lake-louise.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"invictus-games","Invictus Games","/content/categories/sport/multi-sport/events/invictus-games.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"la-tomatina","La Tomatina","/content/categories/culture/food-drink/events/la-tomatina.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"liege-bastogne-liege","Liege Bastogne Liege","/content/categories/sport/cycling/events/liege-bastogne-liege.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"locarno-film-festival","Locarno Film Festival","/content/categories/culture/film/events/locarno-film-festival.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"lollapalooza-brazil","Lollapalooza Brazil","/content/categories/music/music-festivals/events/lollapalooza-brazil.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"melbourne-food-and-wine-festival","Melbourne Food and Wine Festival","/content/categories/culture/food-drink/events/melbourne-food-and-wine-festival.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"melodifestivalen","Melodifestivalen","/content/categories/music/song-contests/events/melodifestivalen.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"memorial-cup","Memorial Cup","/content/categories/sport/ice-hockey/events/memorial-cup.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"miami-open-tennis","Miami Open Tennis","/content/categories/sport/tennis/events/miami-open-tennis.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"microsoft-surface-event","Microsoft Surface Event","/content/categories/technology/consumer-electronics/events/microsoft-surface-event.html","","","","","","","","unconfirmed","Date not set","Next Surface event date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"milan-san-remo","Milan San Remo","/content/categories/sport/cycling/events/milan-san-remo.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"mlb-all-star-game","MLB All-Star Game","/content/categories/sport/baseball/events/mlb-all-star-game.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"montreux-jazz-festival","Montreux Jazz Festival","/content/categories/music/music-festivals/events/montreux-jazz-festival.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"nba-in-season-tournament-final","NBA In-Season Tournament Final","/content/categories/sport/basketball/events/nba-in-season-tournament-final.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"ncaa-march-madness-selection-sunday","NCAA March Madness Selection Sunday","/content/categories/sport/basketball/events/ncaa-march-madness-selection-sunday.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"new-orleans-jazz-and-heritage-festival","New Orleans Jazz and Heritage Festival","/content/categories/culture/music/events/new-orleans-jazz-and-heritage-festival.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"nfl-draft","NFL Draft","/content/categories/sport/american-football/events/nfl-draft.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"nhl-all-star-weekend","NHL All-Star Weekend","/content/categories/sport/ice-hockey/events/nhl-all-star-weekend.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"nice-carnival","Nice Carnival","/content/categories/culture/carnival/events/nice-carnival.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"nintendo-direct-showcase","Nintendo Direct Showcase","/content/categories/technology/consumer-electronics/events/nintendo-direct-showcase.html","","","","","","","","unconfirmed","Date not set","Next Nintendo Direct date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"opening-day-mlb","Opening Day MLB","/content/categories/sport/baseball/events/opening-day-mlb.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"pakistan-super-league-final","Pakistan Super League Final","/content/categories/sport/cricket/events/pakistan-super-league-final.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"pan-american-games","Pan American Games","/content/categories/sport/multi-sport/events/pan-american-games.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"paris-marathon","Paris Marathon","/content/categories/sport/marathon/events/paris-marathon.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"paris-roubaix","Paris Roubaix","/content/categories/sport/cycling/events/paris-roubaix.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"pax-east","PAX East","/content/categories/culture/gaming/events/pax-east.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"peachtree-road-race","Peachtree Road Race","/content/categories/sport/running/events/peachtree-road-race.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"premiership-rugby-final","Premiership Rugby Final","/content/categories/sport/rugby/events/premiership-rugby-final.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"primavera-sound","Primavera Sound","/content/categories/music/music-festivals/events/primavera-sound.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"prix-de-l-arc-de-triomphe","Prix de l Arc de Triomphe","/content/categories/sport/horse-racing/events/prix-de-l-arc-de-triomphe.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"pro-bowl-games","Pro Bowl Games","/content/categories/sport/american-football/events/pro-bowl-games.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"qatar-motogp","Qatar MotoGP","/content/categories/sport/motogp/events/qatar-motogp.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"quebec-winter-carnival","Quebec Winter Carnival","/content/categories/culture/carnival/events/quebec-winter-carnival.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"quebec-winter-carnival","Quebec Winter Carnival","/content/categories/culture/winter/events/quebec-winter-carnival.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"rally-monte-carlo","Rally Monte Carlo","/content/categories/sport/motorsport/events/rally-monte-carlo.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"red-hat-summit","Red Hat Summit","/content/categories/technology/developer-conferences/events/red-hat-summit.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"rio-carnival","Rio Carnival","/content/categories/culture/carnival/events/rio-carnival.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"rise-asia","RISE Asia","/content/categories/culture/tech-events/events/rise-asia.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"rose-bowl-game","Rose Bowl Game","/content/categories/sport/american-football/events/rose-bowl-game.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"royal-ascot","Royal Ascot","/content/categories/sport/horse-racing/events/royal-ascot.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"sapporo-snow-festival","Sapporo Snow Festival","/content/categories/culture/winter/events/sapporo-snow-festival.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"sauti-za-busara","Sauti za Busara","/content/categories/music/world-music/events/sauti-za-busara.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"sebring-12-hours","Sebring 12 Hours","/content/categories/sport/motorsport/events/sebring-12-hours.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"semana-santa-seville","Semana Santa Seville","/content/categories/culture/religion/events/semana-santa-seville.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"songkran-festival","Songkran Festival","/content/categories/culture/tradition/events/songkran-festival.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"sony-state-of-play","Sony State of Play","/content/categories/technology/consumer-electronics/events/sony-state-of-play.html","","","","","","","","unconfirmed","Date not set","Next State of Play date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"spanish-motogp","Spanish MotoGP","/content/categories/sport/motogp/events/spanish-motogp.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"spengler-cup","Spengler Cup","/content/categories/sport/ice-hockey/events/spengler-cup.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"strade-bianche","Strade Bianche","/content/categories/sport/cycling/events/strade-bianche.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"sundance-film-festival","Sundance Film Festival","/content/categories/culture/film/events/sundance-film-festival.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"sziget-festival","Sziget Festival","/content/categories/culture/music/events/sziget-festival.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"tefaf-maastricht","TEFAF Maastricht","/content/categories/culture/art/events/tefaf-maastricht.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"the-voice-finale","The Voice Finale","/content/categories/music/song-contests/events/the-voice-finale.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"tokyo-game-show","Tokyo Game Show","/content/categories/culture/gaming/events/tokyo-game-show.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"tony-awards","Tony Awards","/content/categories/culture/awards/events/tony-awards.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"tour-of-flanders","Tour of Flanders","/content/categories/sport/cycling/events/tour-of-flanders.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"trinidad-carnival","Trinidad Carnival","/content/categories/culture/carnival/events/trinidad-carnival.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"tromso-northern-lights-festival","Tromso Northern Lights Festival","/content/categories/culture/winter/events/tromso-northern-lights-festival.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"two-oceans-marathon","Two Oceans Marathon","/content/categories/sport/running/events/two-oceans-marathon.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"uci-road-world-championships","UCI Road World Championships","/content/categories/sport/cycling/events/uci-road-world-championships.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"uefa-conference-league-final","UEFA Conference League Final","/content/categories/sport/football/events/uefa-conference-league-final.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"uefa-europa-league-final","UEFA Europa League Final","/content/categories/sport/football/events/uefa-europa-league-final.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"up-helly-aa","Up Helly Aa","/content/categories/culture/tradition/events/up-helly-aa.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"valencia-marathon","Valencia Marathon","/content/categories/sport/marathon/events/valencia-marathon.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"venice-biennale-arte","Venice Biennale Arte","/content/categories/culture/art/events/venice-biennale-arte.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"vuelta-a-espana","Vuelta a Espana","/content/categories/sport/cycling/events/vuelta-a-espana.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"white-sensation-amsterdam","White Sensation Amsterdam","/content/categories/culture/music-festivals/events/white-sensation-amsterdam.html","","","","","","","","estimated","Most likely date/window","4 Jul 2026 expected - Amsterdam, official date TBC","Most likely date shown from the historic first-Saturday-in-July pattern; ID&T says Amsterdam premieres ended with The Final in 2017, and checked current pages still list 2026 as official-date TBC.","checked"
"white-turf-st-moritz","White Turf St Moritz","/content/categories/culture/winter/events/white-turf-st-moritz.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"winter-classic","Winter Classic","/content/categories/sport/ice-hockey/events/winter-classic.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"womad-charlton-park","WOMAD Charlton Park","/content/categories/music/world-music/events/womad-charlton-park.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"womadelaide","WOMADelaide","/content/categories/culture/music/events/womadelaide.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"women-cricket-world-cup-final","Women Cricket World Cup Final","/content/categories/sport/cricket/events/women-cricket-world-cup-final.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"world-baseball-classic","World Baseball Classic","/content/categories/sport/baseball/events/world-baseball-classic.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"world-junior-ice-hockey-championship","World Junior Ice Hockey Championship","/content/categories/sport/ice-hockey/events/world-junior-ice-hockey-championship.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
"world-university-games","World University Games","/content/categories/sport/multi-sport/events/world-university-games.html","","","","","","","","unconfirmed","Date not set","2027 date TBC","Official date is not set; page remains a watchlist until an organiser or venue confirms the next edition.","needs-research"
