"Titel";"år";"lokation";"datum"
"Amstel Gold Race";"2027";"Amsterdam, Netherlands";"2027 date TBC"
"Giro d Italia";"2027";"Milan, Italy";"2027 date TBC"
"Liege Bastogne Liege";"2027";"Brussels, Belgium";"2027 date TBC"
"Milan San Remo";"2027";"Milan, Italy";"2027 date TBC"
"Paris Roubaix";"2027";"Roubaix, France, Roubaix Velodrome";"2027 date TBC"
"Strade Bianche";"2027";"Milan, Italy";"2027 date TBC"
"Tour de France";"2026";"France, TBC";"27 Jun - 26 Jul 2026"
"Tour of Flanders";"2027";"Brussels, Belgium";"2027 date TBC"
"UCI Road World Championships";"2027";"Toronto, Canada";"2027 date TBC"
"Vuelta a Espana";"2027";"Barcelona, Spain";"2027 date TBC"
"AFC Asian Cup";"2027";"Saudi Arabia";"7 Jan 2027 - 5 Feb 2027"
"Africa Cup of Nations";"2027";"Kenya, Kenya, Tanzania and Uganda";"1 Jun - 31 Jul 2027"
"Champions League Final";"2026";"Germany, TBC";"30 May 2026"
"Copa America";"2028";"TBC";"1 Jun 2028 - 30 Jun 2028"
"Copa Libertadores Final";"2026";"Argentina, TBC";"28 Nov 2026"
"FIFA Women’s World Cup";"2027";"Brazil";"24 Jun 2027 - 25 Jul 2027"
"FIFA World Cup";"2026";"Mexico City, Toronto, New York region, Canada, Mexico, United States, 16 host-city stadiums";"11 Jun - 19 Jul 2026"
"UEFA Conference League Final";"2027";"Istanbul, Turkey, Besiktas Stadium";"2 Jun 2027"
"UEFA Europa League Final";"2027";"Frankfurt, Germany, Waldstadion";"26 May 2027"
"UEFA European Championship";"2028";"United Kingdom / Ireland, United Kingdom, Ireland";"1 Jun 2028 - 30 Jun 2028"
"Abu Dhabi Grand Prix";"2026";"United Arab Emirates, TBC";"4 Dec 2026 - 6 Dec 2026"
"British Grand Prix";"2026";"Silverstone, United Kingdom";"2 Jul 2026 - 4 Jul 2026"
"Canadian Grand Prix";"2026";"Montreal, Canada, Circuit Gilles Villeneuve, Montreal";"22 May - 24 May 2026"
"Las Vegas Grand Prix";"2026";"United States, TBC";"19 Nov 2026 - 21 Nov 2026"
"Mexico City Grand Prix";"2026";"Mexico, TBC";"30 Oct 2026 - 1 Nov 2026"
"Monaco Grand Prix";"2026";"Monaco, TBC";"4 Jun - 7 Jun 2026"
"Qatar Grand Prix";"2026";"Qatar, TBC";"27 Nov 2026 - 29 Nov 2026"
"São Paulo Grand Prix";"2026";"Brazil, TBC";"6 Nov 2026 - 8 Nov 2026"
"Singapore Grand Prix";"2026";"Singapore, TBC";"9 Oct 2026 - 11 Oct 2026"
"United States Grand Prix";"2026";"United States, TBC";"23 Oct 2026 - 25 Oct 2026"
"3M Open";"2026";"Minnesota, United States, TBC";"Final day listed: July 26, 2026"
"AIG Women's Open";"2026";"England, United Kingdom, TBC";"Final day listed: August 2, 2026"
"Amundi Evian Championship";"2026";"France, TBC";"Final day listed: July 12, 2026"
"Aramco Championship";"2027";"Nevada, United States, TBC";"2-5 Apr 2027"
"Arnold Palmer Invitational";"2027";"Florida, United States, TBC";"5-8 Mar 2027"
"AT&T Pebble Beach Pro-Am";"2027";"California, United States, TBC";"12-15 Feb 2027"
"Bank of Utah Championship";"2026";"Utah, United States, TBC";"Final day listed: October 4, 2026"
"Baycurrent Classic";"2026";"Japan, TBC";"Final day listed: October 11, 2026"
"Biltmore Championship Asheville";"2026";"Asheville, North Carolina, United States, The Cliffs at Walnut Cove";"September 17-20, 2026"
"Blue Bay LPGA";"2027";"China, TBC";"5-8 Mar 2027"
"BMW Championship";"2026";"Missouri, United States, TBC";"Final day listed: August 23, 2026"
"BMW Ladies Championship";"2026";"South Korea, TBC";"Final day listed: October 25, 2026"
"Buick LPGA Shanghai";"2026";"China, TBC";"Final day listed: October 18, 2026"
"Butterfield Bermuda Championship";"2026";"Bermuda, United Kingdom, TBC";"Final day listed: October 25, 2026"
"Cadillac Championship";"2027";"Doral, Florida, United States, Trump National Doral";"Apr 30, 2027 - May 3, 2027"
"Charles Schwab Challenge";"2027";"Texas, United States, TBC";"28-31 May 2027"
"The Chevron Championship";"2027";"Texas, United States, TBC";"23-26 Apr 2027"
"CJ Cup Byron Nelson";"2027";"Texas, United States, TBC";"21-24 May 2027"
"CME Group Tour Championship";"2026";"Florida, United States, TBC";"Final day listed: November 22, 2026"
"Cognizant Classic";"2027";"Florida, United States, TBC";"Feb 26, 2027 - Mar 1, 2027"
"Corales Puntacana Championship";"2026";"Dominican Republic, TBC";"Final day listed: July 19, 2026"
"CPKC Women's Open";"2026";"Canada, TBC";"Final day listed: August 23, 2026"
"Dow Championship";"2026";"Michigan, United States, TBC";"Final day listed: June 14, 2026"
"Farmers Insurance Open";"2027";"California, United States, TBC";"Jan 29, 2027 - Feb 1, 2027"
"FedEx St. Jude Championship";"2026";"Tennessee, United States, TBC";"Final day listed: August 16, 2026"
"FM Championship";"2026";"Massachusetts, United States, TBC";"Final day listed: August 30, 2026"
"Ford Championship presented by Wild Horse Pass";"2027";"Arizona, United States, TBC";"26-29 Mar 2027"
"Fortinet Founders Cup";"2027";"California, United States, TBC";"19-22 Mar 2027"
"Genesis Invitational";"2027";"California, United States, TBC";"19-22 Feb 2027"
"Genesis Scottish Open";"2026";"Scotland, United Kingdom, TBC";"Final day listed: July 12, 2026"
"Good Good Championship";"2026";"Austin, Texas, United States, Omni Barton Creek Resort & Spa - Fazio Canyons Course";"November 12-15, 2026"
"Hilton Grand Vacations Tournament of Champions";"2027";"Florida, United States, TBC";"Jan 29, 2027 - Feb 1, 2027"
"Honda LPGA Thailand";"2027";"Thailand, TBC";"19-22 Feb 2027"
"HSBC Women's World Championship";"2027";"Singapore, TBC";"Feb 26, 2027 - Mar 1, 2027"
"ISCO Championship";"2026";"Kentucky, United States, TBC";"Final day listed: July 12, 2026"
"ISPS Handa Women's Scottish Open";"2026";"Scotland, United Kingdom, TBC";"Final day listed: July 26, 2026"
"JM Eagle LA Championship presented by Plastpro";"2027";"California, United States, TBC";"16-19 Apr 2027"
"John Deere Classic";"2026";"Illinois, United States, TBC";"Final day listed: July 5, 2026"
"KPMG Women's PGA Championship";"2026";"Minnesota, United States, TBC";"Final day listed: June 28, 2026"
"Kroger Queen City Championship presented by P&G";"2027";"Ohio, United States, TBC";"14-17 May 2027"
"LIV Golf Adelaide";"2027";"Adelaide, Australia, The Grange Golf Club";"12-15 Feb 2027"
"LIV Golf Andalucia";"2027";"Sotogrande, Andalucia, Spain, Real Club Valderrama";"4-7 Jun 2027"
"LIV Golf Hong Kong";"2027";"Fanling, Hong Kong, China, Hong Kong Golf Club at Fanling";"5-8 Mar 2027"
"LIV Golf Indianapolis";"2026";"Westfield, Indiana, United States, The Club at Chatham Hills";"August 20-23, 2026"
"LIV Golf Korea";"2027";"Busan, South Korea, Asiad Country Club";"28-31 May 2027"
"LIV Golf Louisiana";"2026";"New Orleans, Louisiana, United States, Bayou Oaks at City Park";"June 25-28, 2026"
"LIV Golf Mexico City";"2027";"Mexico City, Mexico, Club de Golf Chapultepec";"16-19 Apr 2027"
"LIV Golf New York";"2026";"Bedminster, New Jersey, United States, Trump National Golf Club Bedminster";"August 6-9, 2026"
"LIV Golf Riyadh";"2027";"Riyadh, Saudi Arabia, Riyadh Golf Club";"4-7 Feb 2027"
"LIV Golf Singapore";"2027";"Singapore, Sentosa Golf Club";"12-15 Mar 2027"
"LIV Golf South Africa";"2027";"Johannesburg, South Africa, The Club at Steyn City";"19-22 Mar 2027"
"LIV Golf UK";"2026";"Rocester, England, United Kingdom, JCB Golf & Country Club";"July 23-26, 2026"
"LIV Golf Virginia";"2027";"Sterling, Virginia, United States, Trump National Golf Club, Washington D.C.";"7-10 May 2027"
"LIV Team Championship Michigan";"2026";"Plymouth, Michigan, United States, The Cardinal at Saint John's";"August 27-30, 2026"
"LOTTE Championship presented by Hoakalei";"2026";"Hawaii, United States, TBC";"Final day listed: October 4, 2026"
"Masters Tournament";"2027";"Augusta, USA";"8 Apr 2027 - 11 Apr 2027"
"Maybank Championship";"2026";"Malaysia, TBC";"Final day listed: November 1, 2026"
"Meijer LPGA Classic for Simply Give";"2026";"Michigan, United States, TBC";"Final day listed: June 21, 2026"
"Memorial Tournament";"2027";"Ohio, United States, TBC";"4-7 Jun 2027"
"Mizuho Americas Open";"2027";"New Jersey, United States, TBC";"7-10 May 2027"
"ONEflight Myrtle Beach Classic";"2027";"South Carolina, United States, TBC";"7-10 May 2027"
"KLPGA Oslo Ladies Open";"2026";"Norway, TBC";"12 Jun - 15 Jun 2026"
"PGA Championship";"2027";"USA, TBC";"20-23 May 2027"
"The Standard Portland Classic";"2026";"Oregon, United States, TBC";"Final day listed: August 16, 2026"
"Puerto Rico Open";"2027";"Puerto Rico, United States, TBC";"5-8 Mar 2027"
"RBC Canadian Open";"2026";"Canada, TBC";"Final day listed: June 14, 2026"
"RBC Heritage";"2027";"South Carolina, United States, TBC";"16-19 Apr 2027"
"Mexico Riviera Maya Open at Mayakoba";"2027";"Mexico, TBC";"Apr 30, 2027 - May 3, 2027"
"Rocket Classic";"2026";"Michigan, United States, TBC";"Final day listed: August 2, 2026"
"RSM Classic";"2026";"Georgia, United States, TBC";"Final day listed: November 22, 2026"
"Ryder Cup";"2027";"Adare Manor, Ireland";"17 Sep 2027 - 19 Sep 2027"
"ShopRite LPGA powered by Wakefern";"2027";"New Jersey, United States, TBC";"28-31 May 2027"
"Solheim Cup";"2026";"Cromvoirt, Netherlands, Bernardus Golf";"September 7-13, 2026"
"Sony Open in Hawaii";"2027";"Honolulu, Hawaii, United States, Waialae Country Club";"15-18 Jan 2027"
"Texas Children's Houston Open";"2027";"Texas, United States, TBC";"26-29 Mar 2027"
"The American Express";"2027";"California, United States, TBC";"22-25 Jan 2027"
"The ANNIKA driven by Gainbridge at Pelican";"2026";"Florida, United States, TBC";"Final day listed: November 15, 2026"
"The Open Championship";"2026";"Royal Birkdale, United Kingdom";"15 Jul 2026 - 18 Jul 2026"
"The Players Championship";"2027";"Florida, United States, TBC";"12-15 Mar 2027"
"TOTO Japan Classic";"2026";"Japan, TBC";"Final day listed: November 8, 2026"
"Tour Championship";"2026";"Georgia, United States, TBC";"Final day listed: August 30, 2026"
"Travelers Championship";"2026";"Connecticut, United States, TBC";"Final day listed: June 28, 2026"
"Truist Championship";"2027";"North Carolina, United States, TBC";"7-10 May 2027"
"U.S. Open Golf";"2026";"Southampton, USA, Southampton, USA";"18 Jun - 21 Jun 2026"
"U.S. Women's Open presented by Ally";"2027";"California, United States, TBC";"4-7 Jun 2027"
"Valero Texas Open";"2027";"Texas, United States, TBC";"2-5 Apr 2027"
"Valspar Championship";"2027";"Florida, United States, TBC";"19-22 Mar 2027"
"VidantaWorld Mexico Open";"2026";"Mexico, TBC";"Final day listed: November 1, 2026"
"Walmart NW Arkansas Championship presented by P&G";"2026";"Arkansas, United States, TBC";"Final day listed: September 27, 2026"
"WM Phoenix Open";"2027";"Arizona, United States, TBC";"5-8 Feb 2027"
"World Wide Technology Championship";"2026";"Mexico, TBC";"Final day listed: November 8, 2026"
"Wyndham Championship";"2026";"North Carolina, United States, TBC";"Final day listed: August 9, 2026"
"Zurich Classic of New Orleans";"2027";"Louisiana, United States, TBC";"23-26 Apr 2027"
"Breeders Cup";"2027";"Los Angeles, United States";"2027 date TBC"
"Cheltenham Gold Cup";"2027";"Cheltenham, United Kingdom, Cheltenham Racecourse";"2027 date TBC"
"Dubai World Cup";"2027";"Dubai, United Arab Emirates";"27 Mar 2027"
"Durban July";"2026";"Durban, South Africa";"3 Jul 2026"
"Grand National";"2027";"Liverpool, United Kingdom, Aintree Racecourse";"2027 date TBC"
"Japan Cup";"2026";"Tokyo, Japan, Tokyo Racecourse";"29 Nov 2026 - expected"
"Kentucky Derby";"2027";"Louisville, United States, Churchill Downs";"2027 date TBC"
"Melbourne Cup";"2026";"Australia, TBC";"3 Nov 2026"
"Prix de l Arc de Triomphe";"2027";"Paris, France, ParisLongchamp Racecourse";"2027 date TBC"
"Royal Ascot";"2027";"Ascot, United Kingdom, Ascot Racecourse";"2027 date TBC"
"Champions Hockey League Final";"2027";"Basel, Switzerland";"2027 date TBC"
"IIHF World Championship";"2027";"Dusseldorf, Mannheim, Germany, PSD Bank Dome and SAP Arena";"14-30 May 2027"
"KHL Gagarin Cup Final";"2027";"Shanghai, China";"1-20 May 2027 - expected"
"Memorial Cup";"2027";"Toronto, Canada";"2027 date TBC"
"NHL All-Star Weekend";"2027";"Los Angeles, United States";"2027 date TBC"
"Spengler Cup";"2027";"Basel, Switzerland";"2027 date TBC"
"Stanley Cup Final";"2026";"Las Vegas, Montreal, United States, Canada, Home arenas of the remaining clubs";"18 Apr - Jun 2026"
"Winter Classic";"2027";"Los Angeles, United States";"2027 date TBC"
"World Junior Ice Hockey Championship";"2027";"Toronto, Canada";"2027 date TBC"
"Amsterdam Marathon";"2027";"Amsterdam, Netherlands";"2027 date TBC"
"Berlin Marathon";"2026";"Berlin, Germany";"26 Sept 2026"
"Boston Marathon";"2027";"Boston, United States";"19 Apr 2027"
"Chicago Marathon";"2027";"Los Angeles, United States";"2027 date TBC"
"London Marathon";"2027";"London, United Kingdom";"27 Apr 2027 - 25 Apr 2027"
"New York City Marathon";"2027";"Los Angeles, United States";"2027 date TBC"
"Paris Marathon";"2027";"Paris, France";"2027 date TBC"
"Sydney Marathon";"2026";"Sydney, Australia, Sydney course";"30 August 2026"
"Tokyo Marathon";"2027";"Tokyo, Japan, Tokyo marathon course";"7 March 2027"
"Valencia Marathon";"2027";"Barcelona, Spain";"2027 date TBC"
"Australian MotoGP";"2027";"Phillip Island, Australia, Phillip Island Grand Prix Circuit";"2027 date TBC"
"British MotoGP";"2027";"Silverstone, United Kingdom, Silverstone Circuit";"2027 date TBC"
"Dutch TT Assen";"2027";"Assen, Netherlands, TT Circuit Assen";"2027 date TBC"
"French MotoGP";"2027";"Le Mans, France, Bugatti Circuit";"2027 date TBC"
"German MotoGP";"2027";"Hohenstein-Ernstthal, Germany, Sachsenring";"2027 date TBC"
"Italian MotoGP";"2027";"Mugello, Italy, Mugello Circuit";"2027 date TBC"
"Malaysian MotoGP";"2027";"Sepang, Malaysia, Petronas Sepang International Circuit";"2027 date TBC"
"MotoGP Japan";"2026";"Motegi, Japan";"24 Sept 2026 - 26 Sept 2026"
"Qatar MotoGP";"2027";"Doha, Qatar, Lusail International Circuit";"2027 date TBC"
"Spanish MotoGP";"2027";"Jerez, Spain, Circuito de Jerez - Angel Nieto";"2027 date TBC"
"Bathurst 1000";"2026";"Bathurst, Australia, Mount Panorama Circuit";"8-11 Oct 2026 - expected"
"Dakar Rally";"2027";"Riyadh, Saudi Arabia";"2027 date TBC"
"Daytona 500";"2027";"Daytona Beach, United States, Daytona International Speedway";"2027 date TBC"
"Goodwood Festival of Speed";"2027";"Goodwood, United Kingdom, Goodwood House";"2027 date TBC"
"Indianapolis 500";"2026";"Indianapolis, United States, India, Indianapolis, USA";"24 May 2026"
"Isle of Man TT";"2027";"London, United Kingdom";"2027 date TBC"
"Le Mans 24 Hours";"2026";"Le Mans, France, Le Mans, France";"13 Jun - 14 Jun 2026"
"NASCAR Championship Race";"2026";"Los Angeles, United States";"8 Nov 2026 - expected"
"Rally Monte Carlo";"2027";"Paris, France";"2027 date TBC"
"Sebring 12 Hours";"2027";"Sebring, United States, Sebring International Raceway";"2027 date TBC"
"African Games";"2027";"Cape Town, South Africa";"2027 date TBC"
"Asian Games";"2026";"Aichi-Nagoya, Japan";"18 Sept 2026 - 3 Oct 2026"
"Commonwealth Games";"2026";"Victoria, Australia";"15 Jul 2026 - 1 Aug 2026"
"European Championships";"2027";"Berlin, Germany";"2027 date TBC"
"Invictus Games";"2027";"Toronto, Canada";"2027 date TBC"
"Pan American Games";"2027";"Los Angeles, United States";"2027 date TBC"
"Summer Olympics";"2028";"Los Angeles, United States";"14 Jul 2028 - 30 Jul 2028"
"Winter Olympics";"2030";"French Alps, France, French Alps region";"1-17 Feb 2030"
"World University Games";"2027";"Berlin, Germany";"2027 date TBC"
"Youth Olympic Games";"2027";"Dakar, Senegal";"2027 date TBC"
"Bledisloe Cup";"2026";"Multiple cities, Australia";"7 Aug 2026 - 25 Sept 2026"
"European Rugby Champions Cup Final";"2027";"Barcelona, Spain";"2027 date TBC"
"NRL Grand Final";"2026";"Australia, TBC";"4 Oct 2026"
"Premiership Rugby Final";"2027";"London, United Kingdom";"2027 date TBC"
"Rugby League World Cup Final";"2026";"Sydney, Australia";"15 Nov 2026 - expected"
"Rugby World Cup";"2027";"Australia";"1 Oct 2027 - 13 Nov 2027"
"Six Nations Championship";"2027";"England, United Kingdom";"6 Feb 2027 - 31 Mar 2027"
"State of Origin";"2026";"Sydney, Melbourne, Brisbane, Australia, Game I Accor Stadium; Game II MCG; Game III Suncorp Stadium";"27 May - 8 Jul 2026"
"Super Rugby Final";"2026";"Sydney, Australia";"20 Jun 2026 - expected"
"United Rugby Championship Final";"2026";"London, United Kingdom";"20 Jun 2026 - expected"
"Bolder Boulder";"2027";"Los Angeles, United States";"2027 date TBC"
"Cape Town Marathon";"2026";"South Africa, TBC";"18 Oct 2026"
"City2Surf Sydney";"2027";"Sydney, Australia";"2027 date TBC"
"Comrades Marathon";"2027";"Cape Town, South Africa";"2027 date TBC"
"Great Ethiopian Run";"2026";"Cape Town, South Africa";"15 Nov 2026 - expected"
"Great North Run";"2026";"Newcastle upon Tyne, South Shields, United Kingdom, Newcastle to South Shields route";"13 Sep 2026"
"New York City Marathon";"2026";"United States, TBC";"1 Nov 2026"
"Peachtree Road Race";"2027";"Los Angeles, United States";"2027 date TBC"
"Sydney Marathon";"2026";"Sydney, Australia";"15 Aug 2026 - 29 Aug 2026"
"Two Oceans Marathon";"2027";"Cape Town, South Africa";"2027 date TBC"
"ATP Finals";"2027";"Turin, Italy, Inalpi Arena";"2027 date TBC"
"Australian Open";"2027";"Melbourne, Australia";"18 Jan 2027 - 31 Jan 2027"
"Billie Jean King Cup Finals";"2026";"Barcelona, Spain";"15-20 Sep 2026 - expected"
"Davis Cup Finals";"2026";"Barcelona, Spain";"24-29 Nov 2026 - expected"
"Indian Wells Masters";"2027";"Indian Wells, United States, Indian Wells Tennis Garden";"2027 date TBC"
"Miami Open Tennis";"2027";"Miami Gardens, United States, Hard Rock Stadium";"2027 date TBC"
"French Open / Roland Garros";"2026";"Paris, France, Paris, France";"24 May - 7 Jun 2026"
"US Open Tennis";"2026";"New York, USA";"23 Aug 2026 - 12 Sept 2026"
"Wimbledon";"2026";"TBC";"29 Jun - 12 Jul 2026"
"WTA Finals";"2026";"Riyadh, Saudi Arabia";"1-8 Nov 2026 - expected"
"Nobel Prize";"2026";"Stockholm, Oslo, Sweden, Norway, Stockholm / Oslo";"10 Dec 2026"
"Apple September Event";"TBC";"TBC";"Date TBC"
"CES";"2027";"Las Vegas, United States, Las Vegas Convention Center and venues across Las Vegas";"6-9 Jan 2027"
"Computex Taipei";"2026";"Taipei, Taiwan, Taipei Nangang Exhibition Center";"2-5 Jun 2026"
"Google Pixel Launch";"2026";"TBC, United States";"August 2026 expected; official date TBC"
"IFA Berlin";"2026";"Berlin, Germany, Messe Berlin";"4-8 September 2026"
"Microsoft Surface Event";"2026";"Los Angeles, United States";"2026 date TBC"
"Mobile World Congress";"2026";"Barcelona, Spain, Fira Gran Via";"1-4 March 2027"
"Nintendo Direct Showcase";"2026";"Tokyo, Japan";"2026 date TBC"
"Samsung Galaxy Unpacked";"2027";"Los Angeles, United States";"2026 date TBC"
"Sony State of Play";"2026";"Tokyo, Japan";"2026 date TBC"
"Apple WWDC";"2026";"Cupertino / online, United States, Apple Developer app, online sessions and Apple Park special event";"8-12 Jun 2026"
"AWS re:Invent";"2026";"Los Angeles, United States";"2026 date TBC"
"DockerCon";"2026";"Los Angeles, United States";"2026 date TBC"
"GitHub Universe";"2026";"San Francisco, United States, Fort Mason Center";"28-29 October 2026"
"Google I/O";"2026";"Mountain View, United States, Shoreline Amphitheatre and online";"12 May 2027 - expected"
"Meta Connect";"2026";"Los Angeles, United States";"2026 date TBC"
"Microsoft Build";"2026";"San Francisco, United States, Fort Mason Center and online";"2-3 Jun 2026"
"NVIDIA GTC";"2027";"Los Angeles, United States, San Jose";"15-19 March 2027"
"Red Hat Summit";"2026";"Los Angeles, United States";"2026 date TBC"
"Salesforce Dreamforce";"2026";"Los Angeles, United States";"2026 date TBC"
"Global Running Day";"2027";"Global, Worldwide observance";"2 June 2027"
"National Trails Day";"2026";"Los Angeles, United States, Trails and community sites";"6 June 2026"
"World Mental Health Day";"2026";"Global, Worldwide observance";"10 October 2026"
"Aufguss WM";"2026";"Wendisch Rietz, Germany, Satama Sauna Resort & Spa";"14 Sept 2026 - 20 Sept 2026"
"Australia Sauna & Cold Plunge Festival";"2026";"Sydney, Australia, Waterfront wellness venue TBC";"21 Aug 2026 - 23 Aug 2026"
"British Sauna Week";"2026";"United Kingdom, Community saunas and bathing venues";"7 Sept 2026 - 13 Sept 2026"
"Canadian Sauna Culture Weekend";"2027";"Toronto, Canada, Urban sauna and cold-plunge venues TBC";"2027 date TBC"
"European Sauna Marathon";"2027";"Otepää, Estonia, Otepää sauna route";"2027 date TBC"
"Helsinki Sauna Day";"2027";"Helsinki, Finland, Public and private saunas around Helsinki";"2027 date TBC"
"interbad Sauna Forum";"2026";"Stuttgart, Germany, Messe Stuttgart";"6 Oct 2026 - 8 Oct 2026"
"International Sauna Congress";"2026";"Oslo, Norway, Oslo City Hall and Norwegian sauna venues";"24 Sept 2026 - 26 Sept 2026"
"Japan Sauna Fair";"2026";"Tokyo, Japan, Tokyo exhibition and sauna venues";"18 Jul 2026 - 20 Jul 2026"
"Modern Classic Cup";"2026";"Larvik, Norway, Farris Bad";"1 Oct 2026 - 4 Oct 2026"
"Nordic Sauna Summit";"2026";"Helsinki, Finland, Public sauna venues and summit spaces TBC";"28-30 May 2026"
"North American Sauna Summit";"2026";"Minneapolis, United States, Community sauna venues TBC";"16 Oct 2026 - 18 Oct 2026"
"Sauna & Wellness Expo Japan";"2026";"Tokyo, Japan, Tokyo trade-fair venue TBC";"2 Sept 2026 - 4 Sept 2026"
"Sauna Herbal Cup";"2026";"Europe, Global, Host venue TBC";"13 Nov 2026 - 15 Nov 2026"
"Sauna Region Week";"2026";"Jyväskylä Region, Finland, Public saunas, lakeside sites and partner venues";"6 Jun 2026 - 14 Jun 2026"
"Tampere Sauna Week";"2026";"Tampere, Finland, Tampere public saunas and lakeside venues";"1 Jun 2026 - 7 Jun 2026"
"Tuira Sauna Festival";"2026";"Oulu, Finland, Tuira and Oulu waterfront sauna sites";"12 Jun 2026 - 14 Jun 2026"
"UK Aufguss Championships";"2027";"Galgorm, United Kingdom, Galgorm Resort";"2027 date TBC"
"World Sauna Day";"2027";"Worldwide, Global, Local saunas and community bathing sites";"2027 date TBC"
"World Sauna Forum";"2026";"Jyväskylä, Finland, Paviljonki, Sataman Viilu and sauna venues";"9 Jun 2026 - 11 Jun 2026"
"Global Wellness Day";"2026";"Global, Worldwide observance";"13 June 2026"
"World Wellness Weekend";"2026";"Paris, France, Worldwide wellness venues";"18-20 September 2026"
"International Day of Yoga";"2026";"New Delhi, India, Worldwide observance";"21 June 2026"
